| Reward: -2294 | Episode: 0 | Qmax: 126.49194611112277 | Exploration: 0.1998 | Step: 216 | LR:0.0015
| Reward: -2879 | Episode: 1 | Qmax: 263.66684758221663 | Exploration: 0.1996002 | Step: 216 | LR:0.0015
| Reward: -4331 | Episode: 2 | Qmax: 264.5301496903975 | Exploration: 0.1994005998 | Step: 273 | LR:0.0015
| Reward: -2392 | Episode: 3 | Qmax: 265.41370899289154 | Exploration: 0.1992011992 | Step: 215 | LR:0.0015
| Reward: -2468 | Episode: 4 | Qmax: 266.0962817916453 | Exploration: 0.199001998001 | Step: 183 | LR:0.0015
| Reward: -2589 | Episode: 5 | Qmax: 267.60591983795166 | Exploration: 0.198802996003 | Step: 160 | LR:0.0015
| Reward: -4488 | Episode: 6 | Qmax: 268.1441270059614 | Exploration: 0.198604193007 | Step: 268 | LR:0.0015
| Reward: -2977 | Episode: 7 | Qmax: 268.33452645715965 | Exploration: 0.198405588814 | Step: 251 | LR:0.0015
| Reward: -2814 | Episode: 8 | Qmax: 268.48088928222654 | Exploration: 0.198207183225 | Step: 250 | LR:0.0015
| Reward: -1866 | Episode: 9 | Qmax: 270.2186706542969 | Exploration: 0.198008976042 | Step: 175 | LR:0.0015
| Reward: -2326 | Episode: 10 | Qmax: 268.3755227315057 | Exploration: 0.197810967066 | Step: 194 | LR:0.0015
| Reward: -4416 | Episode: 11 | Qmax: 267.95056209208803 | Exploration: 0.197613156099 | Step: 322 | LR:0.0015
| Reward: -2924 | Episode: 12 | Qmax: 268.9162422688802 | Exploration: 0.197415542943 | Step: 225 | LR:0.0015
| Reward: -2687 | Episode: 13 | Qmax: 270.0371069970069 | Exploration: 0.1972181274 | Step: 231 | LR:0.0015
| Reward: -2948 | Episode: 14 | Qmax: 269.07452879713173 | Exploration: 0.197020909272 | Step: 213 | LR:0.0015
| Reward: -2105 | Episode: 15 | Qmax: 269.12927906415615 | Exploration: 0.196823888363 | Step: 171 | LR:0.0015
| Reward: -2538 | Episode: 16 | Qmax: 267.88749012749315 | Exploration: 0.196627064475 | Step: 217 | LR:0.0015
| Reward: -1743 | Episode: 17 | Qmax: 269.5527824085845 | Exploration: 0.19643043741 | Step: 169 | LR:0.0015
| Reward: -2622 | Episode: 18 | Qmax: 269.6289699810554 | Exploration: 0.196234006973 | Step: 283 | LR:0.0015
| Reward: -3379 | Episode: 19 | Qmax: 269.2703863150431 | Exploration: 0.196037772966 | Step: 293 | LR:0.0015
| Reward: -3435 | Episode: 20 | Qmax: 270.38382698172956 | Exploration: 0.195841735193 | Step: 268 | LR:0.0015
| Reward: -2459 | Episode: 21 | Qmax: 270.88121116324646 | Exploration: 0.195645893458 | Step: 219 | LR:0.0015
| Reward: -2749 | Episode: 22 | Qmax: 272.3387896166686 | Exploration: 0.195450247564 | Step: 239 | LR:0.0015
| Reward: -3574 | Episode: 23 | Qmax: 273.77206613438364 | Exploration: 0.195254797317 | Step: 317 | LR:0.0015
| Reward: -2966 | Episode: 24 | Qmax: 273.3041847680588 | Exploration: 0.195059542519 | Step: 321 | LR:0.0015
| Reward: -2182 | Episode: 25 | Qmax: 273.9752703579989 | Exploration: 0.194864482977 | Step: 176 | LR:0.0015
| Reward: -1886 | Episode: 26 | Qmax: 273.63684702951673 | Exploration: 0.194669618494 | Step: 231 | LR:0.0015
| Reward: -2239 | Episode: 27 | Qmax: 274.19705349582057 | Exploration: 0.194474948875 | Step: 143 | LR:0.0015
| Reward: -4062 | Episode: 28 | Qmax: 273.667394238849 | Exploration: 0.194280473927 | Step: 301 | LR:0.0015
| Reward: -2080 | Episode: 29 | Qmax: 274.8753228956653 | Exploration: 0.194086193453 | Step: 155 | LR:0.0015
| Reward: -1679 | Episode: 30 | Qmax: 276.5875077906663 | Exploration: 0.193892107259 | Step: 123 | LR:0.0015
| Reward: -2395 | Episode: 31 | Qmax: 274.6936967451494 | Exploration: 0.193698215152 | Step: 182 | LR:0.0015
| Reward: -4188 | Episode: 32 | Qmax: 274.37809791160555 | Exploration: 0.193504516937 | Step: 283 | LR:0.0015
| Reward: -2780 | Episode: 33 | Qmax: 275.3125745985243 | Exploration: 0.19331101242 | Step: 198 | LR:0.0015
| Reward: -3587 | Episode: 34 | Qmax: 274.487127710059 | Exploration: 0.193117701407 | Step: 249 | LR:0.0015
| Reward: -3824 | Episode: 35 | Qmax: 274.5782666122704 | Exploration: 0.192924583706 | Step: 342 | LR:0.0015
| Reward: -3110 | Episode: 36 | Qmax: 272.2456083555479 | Exploration: 0.192731659122 | Step: 222 | LR:0.0015
| Reward: -2252 | Episode: 37 | Qmax: 274.1871438919137 | Exploration: 0.192538927463 | Step: 219 | LR:0.0015
| Reward: -2545 | Episode: 38 | Qmax: 272.6951316108917 | Exploration: 0.192346388536 | Step: 179 | LR:0.0015
| Reward: -3456 | Episode: 39 | Qmax: 273.71695733321343 | Exploration: 0.192154042147 | Step: 190 | LR:0.0015
| Reward: -1594 | Episode: 40 | Qmax: 273.5043502543014 | Exploration: 0.191961888105 | Step: 173 | LR:0.0015
| Reward: -3113 | Episode: 41 | Qmax: 273.5454557685442 | Exploration: 0.191769926217 | Step: 279 | LR:0.0015
| Reward: -2061 | Episode: 42 | Qmax: 273.7489037451806 | Exploration: 0.191578156291 | Step: 154 | LR:0.0015
| Reward: -2681 | Episode: 43 | Qmax: 273.3383253309462 | Exploration: 0.191386578134 | Step: 180 | LR:0.0015
| Reward: -2184 | Episode: 44 | Qmax: 273.088310833635 | Exploration: 0.191195191556 | Step: 232 | LR:0.0015
| Reward: -1959 | Episode: 45 | Qmax: 273.9806163787842 | Exploration: 0.191003996365 | Step: 160 | LR:0.0015
| Reward: -2749 | Episode: 46 | Qmax: 273.9719999647632 | Exploration: 0.190812992368 | Step: 194 | LR:0.0015
| Reward: -3283 | Episode: 47 | Qmax: 274.02064009586655 | Exploration: 0.190622179376 | Step: 251 | LR:0.0015
| Reward: -2132 | Episode: 48 | Qmax: 273.83934088812936 | Exploration: 0.190431557197 | Step: 180 | LR:0.0015
| Reward: -2961 | Episode: 49 | Qmax: 272.20430337229084 | Exploration: 0.190241125639 | Step: 217 | LR:0.0015
| Reward: -1940 | Episode: 50 | Qmax: 272.7717125695031 | Exploration: 0.190050884514 | Step: 222 | LR:0.0015
| Reward: -3484 | Episode: 51 | Qmax: 273.5669568805603 | Exploration: 0.189860833629 | Step: 209 | LR:0.0015
| Reward: -2981 | Episode: 52 | Qmax: 273.9348240233304 | Exploration: 0.189670972796 | Step: 228 | LR:0.0015
| Reward: -3245 | Episode: 53 | Qmax: 273.63885281503 | Exploration: 0.189481301823 | Step: 303 | LR:0.0015
| Reward: -3030 | Episode: 54 | Qmax: 274.88772788283 | Exploration: 0.189291820521 | Step: 223 | LR:0.0015
| Reward: -2712 | Episode: 55 | Qmax: 275.06042106196566 | Exploration: 0.1891025287 | Step: 265 | LR:0.0015
| Reward: -2741 | Episode: 56 | Qmax: 276.62940060195103 | Exploration: 0.188913426172 | Step: 186 | LR:0.0015
| Reward: -3598 | Episode: 57 | Qmax: 275.17107144607485 | Exploration: 0.188724512746 | Step: 269 | LR:0.0015
| Reward: -2619 | Episode: 58 | Qmax: 275.7810520902593 | Exploration: 0.188535788233 | Step: 235 | LR:0.0015
| Reward: -1575 | Episode: 59 | Qmax: 275.31091612083475 | Exploration: 0.188347252445 | Step: 181 | LR:0.0015
| Reward: -3249 | Episode: 60 | Qmax: 274.38511294883705 | Exploration: 0.188158905192 | Step: 307 | LR:0.0015
| Reward: -2348 | Episode: 61 | Qmax: 276.3081545362285 | Exploration: 0.187970746287 | Step: 153 | LR:0.0015
| Reward: -3189 | Episode: 62 | Qmax: 274.00958396744556 | Exploration: 0.187782775541 | Step: 274 | LR:0.0015
| Reward: -2160 | Episode: 63 | Qmax: 275.6205593989446 | Exploration: 0.187594992765 | Step: 208 | LR:0.0015
| Reward: -2145 | Episode: 64 | Qmax: 277.0635618455339 | Exploration: 0.187407397772 | Step: 202 | LR:0.0015
| Reward: -2339 | Episode: 65 | Qmax: 276.0931099785699 | Exploration: 0.187219990375 | Step: 216 | LR:0.0015
| Reward: -3502 | Episode: 66 | Qmax: 276.32023176620635 | Exploration: 0.187032770384 | Step: 299 | LR:0.0015
| Reward: -3858 | Episode: 67 | Qmax: 276.16859301757813 | Exploration: 0.186845737614 | Step: 250 | LR:0.0015
| Reward: -3160 | Episode: 68 | Qmax: 276.5986424782098 | Exploration: 0.186658891876 | Step: 281 | LR:0.0015
| Reward: -1896 | Episode: 69 | Qmax: 275.2838221346394 | Exploration: 0.186472232984 | Step: 178 | LR:0.0015
| Reward: -2044 | Episode: 70 | Qmax: 275.3960000743037 | Exploration: 0.186285760751 | Step: 299 | LR:0.0015
| Reward: -3622 | Episode: 71 | Qmax: 275.3155783170437 | Exploration: 0.186099474991 | Step: 239 | LR:0.0015
| Reward: -1867 | Episode: 72 | Qmax: 276.4262341451088 | Exploration: 0.185913375516 | Step: 257 | LR:0.0015
| Reward: -2125 | Episode: 73 | Qmax: 275.74965044774046 | Exploration: 0.18572746214 | Step: 218 | LR:0.0015
| Reward: -2925 | Episode: 74 | Qmax: 276.52223874701826 | Exploration: 0.185541734678 | Step: 244 | LR:0.0015
| Reward: -4168 | Episode: 75 | Qmax: 276.48633989949866 | Exploration: 0.185356192943 | Step: 254 | LR:0.0015
| Reward: -2431 | Episode: 76 | Qmax: 278.3468868710579 | Exploration: 0.18517083675 | Step: 218 | LR:0.0015
| Reward: -3042 | Episode: 77 | Qmax: 277.5975593392176 | Exploration: 0.184985665914 | Step: 262 | LR:0.0015
| Reward: -3861 | Episode: 78 | Qmax: 278.46811970302036 | Exploration: 0.184800680248 | Step: 280 | LR:0.0015
| Reward: -2430 | Episode: 79 | Qmax: 277.0242773758738 | Exploration: 0.184615879567 | Step: 190 | LR:0.0015
| Reward: -2351 | Episode: 80 | Qmax: 279.3097148181097 | Exploration: 0.184431263688 | Step: 219 | LR:0.0015
| Reward: -2957 | Episode: 81 | Qmax: 278.5168497248213 | Exploration: 0.184246832424 | Step: 258 | LR:0.0015
| Reward: -2697 | Episode: 82 | Qmax: 281.08096655729776 | Exploration: 0.184062585592 | Step: 214 | LR:0.0015
| Reward: -2180 | Episode: 83 | Qmax: 278.7769666697881 | Exploration: 0.183878523006 | Step: 219 | LR:0.0015
| Reward: -2766 | Episode: 84 | Qmax: 279.7464757745916 | Exploration: 0.183694644483 | Step: 220 | LR:0.0015
| Reward: -4451 | Episode: 85 | Qmax: 281.1394918436146 | Exploration: 0.183510949839 | Step: 339 | LR:0.0015
| Reward: -1772 | Episode: 86 | Qmax: 279.40715526062763 | Exploration: 0.183327438889 | Step: 162 | LR:0.0015
| Reward: -2864 | Episode: 87 | Qmax: 279.8727268911112 | Exploration: 0.18314411145 | Step: 237 | LR:0.0015
| Reward: -2392 | Episode: 88 | Qmax: 280.242370161038 | Exploration: 0.182960967339 | Step: 206 | LR:0.0015
| Reward: -2314 | Episode: 89 | Qmax: 281.7940417279254 | Exploration: 0.182778006371 | Step: 182 | LR:0.0015
