 | Episode: 0 | Train: 0.898760318756 | Gym: 293.467487812 | Batch: 0.456722259521 | Guide: 292.949479103
 | Episode: 1 | Train: 0.942451953888 | Gym: 333.09439373 | Batch: 0.607422828674 | Guide: 332.847854376
 | Episode: 2 | Train: 1.20656919479 | Gym: 336.942795992 | Batch: 0.755572319031 | Guide: 336.635092735
 | Episode: 3 | Train: 0.927846908569 | Gym: 307.662934303 | Batch: 0.595605134964 | Guide: 307.40164566
 | Episode: 4 | Train: 0.769248008728 | Gym: 223.015959263 | Batch: 0.500161170959 | Guide: 222.802603483
 | Episode: 5 | Train: 0.677083730698 | Gym: 137.122405529 | Batch: 0.436425209045 | Guide: 136.90802002
 | Episode: 6 | Train: 1.09452629089 | Gym: 215.740375757 | Batch: 0.728043794632 | Guide: 215.411227942
 | Episode: 7 | Train: 0.961575984955 | Gym: 229.165540934 | Batch: 0.623928308487 | Guide: 228.870299101
 | Episode: 8 | Train: 0.838599681854 | Gym: 183.471052647 | Batch: 0.543591976166 | Guide: 183.228561401
 | Episode: 9 | Train: 0.586005926132 | Gym: 180.478956938 | Batch: 0.379012346268 | Guide: 180.308350086
 | Episode: 10 | Train: 0.644109487534 | Gym: 181.797420025 | Batch: 0.410336971283 | Guide: 181.601715326
 | Episode: 11 | Train: 1.07867765427 | Gym: 309.242062807 | Batch: 0.693074941635 | Guide: 308.935179949
 | Episode: 12 | Train: 0.750356912613 | Gym: 137.08364892 | Batch: 0.480921506882 | Guide: 136.881215811
 | Episode: 13 | Train: 0.775588512421 | Gym: 181.527008533 | Batch: 0.499239444733 | Guide: 181.296090364
 | Episode: 14 | Train: 0.716073989868 | Gym: 261.945079565 | Batch: 0.467473268509 | Guide: 261.744027138
 | Episode: 15 | Train: 0.570943117142 | Gym: 128.289496899 | Batch: 0.371734857559 | Guide: 128.134604454
 | Episode: 16 | Train: 0.722316026688 | Gym: 161.49808979 | Batch: 0.457087039948 | Guide: 161.241348505
 | Episode: 17 | Train: 0.565030574799 | Gym: 126.268740654 | Batch: 0.36772441864 | Guide: 126.120465755
 | Episode: 18 | Train: 0.945876598358 | Gym: 276.849226952 | Batch: 0.619111776352 | Guide: 276.583841324
 | Episode: 19 | Train: 0.976584434509 | Gym: 219.365253925 | Batch: 0.643489837646 | Guide: 219.104482412
 | Episode: 20 | Train: 0.949343919754 | Gym: 276.859016657 | Batch: 0.578587055206 | Guide: 276.615553141
 | Episode: 21 | Train: 0.731467008591 | Gym: 215.492737055 | Batch: 0.472388267517 | Guide: 215.304488659
 | Episode: 22 | Train: 0.797644615173 | Gym: 214.711543798 | Batch: 0.514934539795 | Guide: 214.497451067
 | Episode: 23 | Train: 1.05729389191 | Gym: 292.844992876 | Batch: 0.681037664413 | Guide: 292.540887833
 | Episode: 24 | Train: 1.0723721981 | Gym: 287.354298592 | Batch: 0.694922208786 | Guide: 287.051558018
 | Episode: 25 | Train: 0.588310003281 | Gym: 158.455617905 | Batch: 0.380828380585 | Guide: 158.289874077
 | Episode: 26 | Train: 0.772909164429 | Gym: 244.911045074 | Batch: 0.499425649643 | Guide: 244.698414326
 | Episode: 27 | Train: 0.478295564651 | Gym: 171.919305325 | Batch: 0.313097476959 | Guide: 171.791092396
 | Episode: 28 | Train: 1.00033593178 | Gym: 272.660050154 | Batch: 0.647400379181 | Guide: 272.369987488
 | Episode: 29 | Train: 0.516944169998 | Gym: 156.883404255 | Batch: 0.336528778076 | Guide: 156.744792223
 | Episode: 30 | Train: 0.411716461182 | Gym: 113.898930311 | Batch: 0.266555309296 | Guide: 113.7853899
 | Episode: 31 | Train: 0.609839439392 | Gym: 193.564822435 | Batch: 0.384583473206 | Guide: 193.363063574
 | Episode: 32 | Train: 0.946060180664 | Gym: 203.745988369 | Batch: 0.612400770187 | Guide: 203.481366396
 | Episode: 33 | Train: 0.656517028809 | Gym: 200.493739605 | Batch: 0.419062852859 | Guide: 200.284297466
 | Episode: 34 | Train: 0.827826738358 | Gym: 182.544287205 | Batch: 0.533596038818 | Guide: 182.303986549
 | Episode: 35 | Train: 1.14360642433 | Gym: 342.981869459 | Batch: 0.742282629013 | Guide: 342.653672934
 | Episode: 36 | Train: 0.742333650589 | Gym: 190.509534359 | Batch: 0.485234022141 | Guide: 190.305021048
 | Episode: 37 | Train: 0.731995105743 | Gym: 185.666445017 | Batch: 0.479588508606 | Guide: 185.464144707
 | Episode: 38 | Train: 0.597603082657 | Gym: 158.337307453 | Batch: 0.38925075531 | Guide: 158.16107893
 | Episode: 39 | Train: 0.632045507431 | Gym: 132.187087774 | Batch: 0.408574342728 | Guide: 132.019979239
 | Episode: 40 | Train: 0.631498813629 | Gym: 91.3913180828 | Batch: 0.362730979919 | Guide: 91.2136251926
 | Episode: 41 | Train: 0.929347038269 | Gym: 356.669591904 | Batch: 0.593107223511 | Guide: 356.406165361
 | Episode: 42 | Train: 0.515143156052 | Gym: 164.99878931 | Batch: 0.330926418304 | Guide: 164.859685421
 | Episode: 43 | Train: 0.604020357132 | Gym: 116.136945248 | Batch: 0.384530067444 | Guide: 115.962224722
 | Episode: 44 | Train: 0.770301580429 | Gym: 167.632999659 | Batch: 0.488612651825 | Guide: 167.404937267
 | Episode: 45 | Train: 0.536086082458 | Gym: 91.4246585369 | Batch: 0.344369888306 | Guide: 91.2790653706
 | Episode: 46 | Train: 0.645493745804 | Gym: 192.355900288 | Batch: 0.409435510635 | Guide: 192.156994581
 | Episode: 47 | Train: 0.835012197495 | Gym: 229.751023054 | Batch: 0.540365695953 | Guide: 229.528959751
 | Episode: 48 | Train: 0.601388692856 | Gym: 177.764438868 | Batch: 0.386800765991 | Guide: 177.59768939
 | Episode: 49 | Train: 0.722348690033 | Gym: 176.562568426 | Batch: 0.454144239426 | Guide: 176.354250193
 | Episode: 50 | Train: 0.739023685455 | Gym: 231.271753073 | Batch: 0.468909502029 | Guide: 231.05530858
 | Episode: 51 | Train: 0.696987628937 | Gym: 145.123760462 | Batch: 0.444982767105 | Guide: 144.925171137
 | Episode: 52 | Train: 0.761435508728 | Gym: 171.858274937 | Batch: 0.488962888718 | Guide: 171.651983261
 | Episode: 53 | Train: 1.00638008118 | Gym: 252.332694769 | Batch: 0.634278059006 | Guide: 252.011496544
 | Episode: 54 | Train: 0.74342918396 | Gym: 210.135411739 | Batch: 0.482818126678 | Guide: 209.940301418
 | Episode: 55 | Train: 0.884510993958 | Gym: 194.62886405 | Batch: 0.557993412018 | Guide: 194.362771273
 | Episode: 56 | Train: 0.618385076523 | Gym: 119.596085787 | Batch: 0.383767843246 | Guide: 119.383166552
 | Episode: 57 | Train: 0.891067028046 | Gym: 198.922172308 | Batch: 0.559946298599 | Guide: 198.658199072
 | Episode: 58 | Train: 0.783343791962 | Gym: 191.591720104 | Batch: 0.505773067474 | Guide: 191.378602505
 | Episode: 59 | Train: 0.603258371353 | Gym: 92.0553057194 | Batch: 0.381747722626 | Guide: 91.8731746674
 | Episode: 60 | Train: 1.07569384575 | Gym: 255.704477549 | Batch: 0.636730909348 | Guide: 255.382345676
 | Episode: 61 | Train: 0.509760856628 | Gym: 126.773858547 | Batch: 0.324259757996 | Guide: 126.615198612
 | Episode: 62 | Train: 0.910425186157 | Gym: 226.445574999 | Batch: 0.577884912491 | Guide: 226.169033766
 | Episode: 63 | Train: 0.691084384918 | Gym: 248.408303022 | Batch: 0.443435192108 | Guide: 248.210424423
 | Episode: 64 | Train: 0.672927379608 | Gym: 148.633849382 | Batch: 0.423523664474 | Guide: 148.414010286
 | Episode: 65 | Train: 0.718697547913 | Gym: 184.121199846 | Batch: 0.456919193268 | Guide: 183.905652285
 | Episode: 66 | Train: 0.99436044693 | Gym: 274.525862217 | Batch: 0.630540370941 | Guide: 274.222356319
 | Episode: 67 | Train: 0.831207036972 | Gym: 205.669883251 | Batch: 0.534010410309 | Guide: 205.432563305
 | Episode: 68 | Train: 0.934961557388 | Gym: 272.682939768 | Batch: 0.591408252716 | Guide: 272.419327736
 | Episode: 69 | Train: 0.599192142487 | Gym: 122.846296072 | Batch: 0.377361774445 | Guide: 122.650251865
 | Episode: 70 | Train: 0.994984388351 | Gym: 184.022787571 | Batch: 0.63782453537 | Guide: 183.731616974
 | Episode: 71 | Train: 0.79770898819 | Gym: 197.050802231 | Batch: 0.505579471588 | Guide: 196.786580563
 | Episode: 72 | Train: 0.852635383606 | Gym: 202.883176565 | Batch: 0.537391424179 | Guide: 202.602447987
 | Episode: 73 | Train: 0.722569227219 | Gym: 189.66514945 | Batch: 0.452900886536 | Guide: 189.425560951
 | Episode: 74 | Train: 0.81193780899 | Gym: 188.918617249 | Batch: 0.515476226807 | Guide: 188.673281431
 | Episode: 75 | Train: 0.843774557114 | Gym: 202.65074873 | Batch: 0.538210391998 | Guide: 202.400094271
 | Episode: 76 | Train: 0.730033159256 | Gym: 144.204543114 | Batch: 0.462414264679 | Guide: 143.980801582
 | Episode: 77 | Train: 0.87278842926 | Gym: 232.022333622 | Batch: 0.560609340668 | Guide: 231.773399353
 | Episode: 78 | Train: 0.931436538696 | Gym: 188.292932034 | Batch: 0.594761371613 | Guide: 188.007217407
 | Episode: 79 | Train: 0.633840322495 | Gym: 124.320559978 | Batch: 0.403572559357 | Guide: 124.130165339
 | Episode: 80 | Train: 0.782906770706 | Gym: 185.475484848 | Batch: 0.465102672577 | Guide: 185.249259949
 | Episode: 81 | Train: 0.858519792557 | Gym: 160.226207256 | Batch: 0.542947053909 | Guide: 159.955288649
 | Episode: 82 | Train: 0.71702003479 | Gym: 136.594197035 | Batch: 0.460955858231 | Guide: 136.394292116
 | Episode: 83 | Train: 0.72971200943 | Gym: 183.879973173 | Batch: 0.463327646255 | Guide: 183.654902458
 | Episode: 84 | Train: 0.731393575668 | Gym: 214.847735167 | Batch: 0.464340209961 | Guide: 214.60813117
 | Episode: 85 | Train: 1.12721824646 | Gym: 293.723050356 | Batch: 0.72339963913 | Guide: 293.395628452
 | Episode: 86 | Train: 0.536553621292 | Gym: 96.2282400131 | Batch: 0.342103242874 | Guide: 96.0606565475
 | Episode: 87 | Train: 0.796701192856 | Gym: 188.894147635 | Batch: 0.512078046799 | Guide: 188.650547743
 | Episode: 88 | Train: 0.683902263641 | Gym: 201.693440437 | Batch: 0.436492681503 | Guide: 201.477792263
 | Episode: 89 | Train: 0.606598615646 | Gym: 172.624373198 | Batch: 0.396713733673 | Guide: 172.445498466
 | Episode: 90 | Train: 0.860178470612 | Gym: 160.791584492 | Batch: 0.549494504929 | Guide: 160.532816172
 | Episode: 91 | Train: 0.753085136414 | Gym: 170.478891611 | Batch: 0.486393213272 | Guide: 170.262603283
 | Episode: 92 | Train: 0.799078941345 | Gym: 170.685907125 | Batch: 0.510887622833 | Guide: 170.435025692
 | Episode: 93 | Train: 0.645687818527 | Gym: 136.566694498 | Batch: 0.413324594498 | Guide: 136.353487968
 | Episode: 94 | Train: 0.612944364548 | Gym: 102.438707113 | Batch: 0.393816709518 | Guide: 102.245219707
 | Episode: 95 | Train: 0.575704574585 | Gym: 132.725899935 | Batch: 0.365608215332 | Guide: 132.543255568
 | Episode: 96 | Train: 0.805117607117 | Gym: 133.697094679 | Batch: 0.512712717056 | Guide: 133.437082767
 | Episode: 97 | Train: 0.730627536774 | Gym: 163.548032999 | Batch: 0.46555185318 | Guide: 163.318300009
 | Episode: 98 | Train: 0.53622174263 | Gym: 130.15755105 | Batch: 0.338606119156 | Guide: 129.983864784
 | Episode: 99 | Train: 1.15980958939 | Gym: 327.634604454 | Batch: 0.739267110825 | Guide: 327.264798403
 | Episode: 100 | Train: 0.717083215714 | Gym: 87.7112162113 | Batch: 0.426342725754 | Guide: 87.5243763924
 | Episode: 101 | Train: 1.204464674 | Gym: 227.124202251 | Batch: 0.775733470917 | Guide: 226.75039506
